,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,MaxCNOT,NoToff,%QInToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,Difficulty_Score
35,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,8.25815743111914
36,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,4.938715333607769
37,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,5.776831419807506
38,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,5.009508364866177
39,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,5.919729110662688
40,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,5.275281523936915
41,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,6.526576046957183
42,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,4.454130761773205
43,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,5.079714225582043
44,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,2.6769682694794428
45,4,4,5,4,2.4,1,0,7,0.0,3,11,0,0,0,0.0,0,0,0.0,0,12,0,0.9167,1,0,1.0,0.0,4.0,4,3,3.730428993060923
46,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,4.794092075586539
47,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,5.123958006665932
48,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.9193865835656885
49,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,8.333333333333334
50,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,5.652440125554418
51,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.6666666666666663
52,5,3,6,3,2.3333,0,0,9,1.0,3,12,0,0,0,0.0,0,0,0.0,0,14,0,0.8571,2,0,1.0,0.0,3.0,3,3,1.6666666666666663
53,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,5.637708934648353
54,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,8.333333333333334
55,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,5.195011787803253
56,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,4.074440784559459
57,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,5.474570089197954
58,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,1.700436617544171
59,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,4.929215546622618
60,24,3,6,1,1.0,0,0,0,0.0,1,1,0,0,4,1.0,2,0,0.0,0,6,4,0.1667,1,0,0.3333,0.0,1.0,1,1,3.4931223072069857
61,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,7.51104555883317
62,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,8.059029483255879
63,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,8.333333333333334
64,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,8.114220340039074
65,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,5.821022715176062
66,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,5.94783989079325
67,33,5,4,1,1.0,0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,4,1,0.0,3,0,0.8,0.0,3.0,4,0,4.273560276036555
68,46,4,14,4,1.4286,0,0,0,0.0,8,8,0,0,8,1.0,4,0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,4.75410643417549
69,46,4,14,4,1.4286,0,0,0,0.0,8,8,0,0,8,1.0,4,0,0.0,0,20,8,0.4,4,0,1.0,0.0,1.0,1,0,3.9102787471443543
70,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,8.333333333333334
71,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,1.9539136148052108
72,8,8,5,8,5.2,1,0,16,0.0,8,25,0,0,0,0.0,0,0,0.0,0,26,0,0.9615,1,0,1.0,0.0,8.0,8,8,4.343986667677435
73,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,5.8362858183646535
74,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,8.333333333333334
75,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,5.94783989079325
76,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,8.333333333333334
77,42,6,12,2,1.4167,6,2,4,0.3333,0,12,1,0,0,0.0,0,4,1.0,1,17,5,0.7059,0,0,0.0,0.0,0.0,0,0,4.927809750090706
78,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,8.333333333333334
79,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,1.6666666666666663
80,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,5.467094622387253
81,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,6.105513625094175
82,13,8,7,4,1.2857,0,0,4,0.5,0,4,0,0,0,0.0,0,0,0.0,0,9,4,0.4444,5,4,1.0,1.0,4.0,4,0,5.208063814098318
83,35,6,11,3,1.3636,0,0,6,0.5,0,6,0,0,0,0.0,0,0,0.0,0,15,7,0.4,8,6,0.6667,0.6667,1.5,3,0,4.988789899955227
