,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,TNo-P,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,AvgCNOT,MaxCNOT,NoToff,%QInToff,AvgToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,%QM,cluster,TotalTime,Minutes,Seconds,Num_Correct,Num_Incorrect,Num_Idk,Num_NotAnswered,CorrectnessEfficiency,IncorrectnessEfficiency,IdkEfficiency,NotAnsweredEfficiency
18,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,12.316666666666666,12,19,3,2,1,0,0.2435723951285521,0.16238159675236807,0.08119079837618404,0.0
19,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,11.65,11,39,6,0,0,0,0.5150214592274678,0.0,0.0,0.0
20,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,21.466666666666665,21,28,3,0,0,3,0.13975155279503107,0.0,0.0,0.13975155279503107
21,30,2,8,2,0.875,0,1,1,2,0.5,2,5,0,0,2,1.0,1.0,2,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1.0,2,15.4,15,24,3,0,0,3,0.19480519480519481,0.0,0.0,0.19480519480519481
22,30,2,8,2,0.875,0,1,1,2,0.5,2,5,0,0,2,1.0,1.0,2,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1.0,2,2.783333333333333,2,47,2,3,1,0,0.718562874251497,1.0778443113772456,0.3592814371257485,0.0
23,30,2,8,2,0.875,0,1,1,2,0.5,2,5,0,0,2,1.0,1.0,2,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1.0,2,9.166666666666666,9,10,1,2,3,0,0.1090909090909091,0.2181818181818182,0.32727272727272727,0.0
24,30,2,8,2,0.875,0,1,1,2,0.5,2,5,0,0,2,1.0,1.0,2,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1.0,2,8.833333333333334,8,50,5,1,0,0,0.5660377358490566,0.11320754716981131,0.0,0.0
25,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,11.633333333333333,11,38,4,2,0,0,0.34383954154727797,0.17191977077363899,0.0,0.0
26,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,11.05,11,3,0,0,6,0,0.0,0.0,0.5429864253393665,0.0
27,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,15.133333333333333,15,8,3,1,2,0,0.19823788546255508,0.06607929515418502,0.13215859030837004,0.0
28,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,11.933333333333334,11,56,0,5,1,0,0.0,0.41899441340782123,0.08379888268156424,0.0
29,48,5,14,3,1.0714,4,0,4,0,0.0,5,9,0,0,6,1.0,1.2,2,0,0.0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1.0,3,7.783333333333333,7,47,3,3,0,0,0.3854389721627409,0.3854389721627409,0.0,0.0
